manufacturer,model,new_manufacturer,new_model,,,,
Vestas,V39-500,Vestas,V39/500,,,,
EWT,DW54-900,EWT,Directwind 900/54,,,,
GE,1.5 XLE,GE Energy,1.5xle,,,,
Vestas,V47-660,Vestas,V47,,,,
Vestas,V42-600,Vestas,V42,,,,
VENSYS,VENSYS77,Vensts,77,,,,
GE,1.5 SLE,GE Energy,1.5sle,,,,
Suzlon,S64-1250,Suzlon,S64/1250,,,,
DeWind,D8.2,Dewind,D8.2,,,,
NEG-Micon,NM52/900,Neg Micon,NM52/900,,,,
NEG-Micon,NM54/950,Neg Micon,NM 54/950,,,,
AOC,AOC15/50,aoc,aoc15/50,,,,
Vestas,V15,Vestas,Missing,,,,
Northern Power,Northwind 100,Northern Power Systems,Northern Power 100,,,,
Zond,Z-40,Zond,Z-40-FS,,,,
Fuhrlander,FL 1500-77,Fuhrländer Windtechnology LLC,FL 1500/77,,,,
NEG-Micon,NM48/750,Neg Micon,NM48/740,,,,
Vestas,V17-90,Vestas ,Missing,,,,
Nordtank,NTK 65/13,Nordtank,Missing,,,,
Micon,M700-225/40,Micon,Missing,,,,
Nordtank,NTK 75/15,Nordtank,Missing,,,,
GE,1.5 S,GE Energy,1.5s,,,,
Vestas,PS-600,Vestas,V44/600,closest,,,
Siemens Gamesa,SG 2.9-129,Simenes Gamesa,Missing,,,,
Zond,Z-48,Zond,Missing,,,,
Micon,M750-400/100,Micon ,Missing,,,,
Micon,M1500-600/150,Micon,Missing,,,,
GE,1.5-77,GE Energy,1.5sl,,,,
Danwin,Danwin 23/160,Danwin,23/160,,,,
Micon,108,Micon,Missing,,,,
Vestas,V27-225,Vestas,V27/225,,,,
Bonus,Bonus 65/13kW,AN Bonus,1300/62,closest,,,
GE,2.3-116,GE Energy,Missing,,,,
Vestas,V136-4.2,Vestas,Missing,,,,
Mitsubishi,MWT-600 (45m),Mitsubishi,Missing,,,,
Gamesa,G47,Gamesa,G47/660,,,,
Mitsubishi,MWT-600 (47m),Mitsubishi,Missing,,,,
NEG-Micon,NM72C/1500,Neg Micon,NM72c/1500,,,,
GE,1.5 SE,GE Energy,1.5se,,,,
Vestas,Vestas V-47,Vestas,V47,,,,
Vestas,V150-4.2,Vestas,V150/4000-4200,,,,
NEG-Micon,NM82/1650,Neg Micon,NM82/1650,,,,
GE,2.5-116,GE Energy,2.5-120,closest,,,
Nordex,N155/4800,Nordex,Missing,,,,
Gamesa,G126-2.5,Gamesa,G126/2500,,,,
Suzlon,S64-950,Suzlon,S64/950,,,,
Gamesa,AE59,Gamesa,Missing,,,,
Gamesa,G80-2.0,Gamesa,G80/2000,,,,
GE,1.5-82.5,GE Energy,1.5xle,,,,
GE,1.6-87,GE Energy,1.6-82.5,,,,
Gamesa,G87-2.0,Gamesa,G87/2000,,,,
Vestas,V136-3.6,Vestas,V117/3600,closests,,,
Vestas,V80-2.0,Vestas,V80-2.0 VCS,,,,
GE,2.5-100,GE Energy,2.5-100,,,,
GE,2.85-100,GE Energy,2.85-103,,,,
GE,1.6 SLE,GE Energy,1.6-82.5,"closest, should be 77 rd",,,
GE,1.62-100,GE Energy,1.6-100,,,,
Suzlon,S88-2100,Suzlon,S88/2100,,,,
Siemens,SWT-1.0-54,Siemens,Missing,,,,
Gamesa,G90-2.0,Gamesa,G90/2000,,,,
Acciona,AW77/1500,Acciona,AW-1500/77,,,,
GE,1.79-100,GE Energy,Missing,,,,
Vestas,V120-2.2,Vestas,v120-2.2,,,,
Suzlon,S52,Suzlon,S52/600,the windpower.net,S.52-600,SAM,
Mitsubishi,MWT-62/1.0,Mitsubishi,MWT-1000-61,,,,
Acciona,AW82/1500,Acciona,AW-1500/82,,,,
GE,1.85-87,GE Energy,1.85-87,,,,
Senvion,MM92,Senvion,MM92/2050,,,,
REpower,MM92,Repower,MM92,,,,
Vestas,V120-2.0,Vestas,V110/2000,closest,,,
GE,1.6-100,GE Energy,1.6-100,,,,
GE,1.7-100,GE Energy,1.7-100,,,,
GE,1.6 XLE,GE Energy,1.6-82.5,,,,
Gamesa,G97-2.0,Gamesa,G97/2000,,,,
NedWind,NEDWIND 40,NedWind,40/500,,,,
Goldwind,GW 77/1500,Goldwind,GW77/1500,,,,
Alstom,ECO86,Alstom,Missing,,,,
SANY,SE8720IIIE,SANY,SE8720,,,,
GE,2.5-127,GE Energy,2.5-120,,,,
Goldwind,GW 87/1500,Goldwind,GW87/1500,,,,
Kenersys,K100 2.5,Kenersys,K100,,,,
Gamesa,G114-2.0,Gamesa,G114/2000,,,,
GE,1.68-82.5,GE Energy,Missing,,,,
Hyundai,HQ1650,Hyundai,Missing,,,,
Mitsubishi,MWT-102/2.4,Mitsubishi,MWT-102-2.4,,,,
GE,1.6-82.5,GE Energy,1.6-82.5,,,,
Nordtank,NTK 500/41,Nordtank,Missing,,,,
Suzlon,S97-2100,Suzlon,S97/2100,,,,
Goldwind,GW 82/1500,Goldwind,GW82/1500,,,,
Alstom,Haliade 150,Alstom,Missing,,,,
Acciona,AW116/3000,Acciona,Missing,,,,
Sinovel,SL1500/82,Sinovel,SL 1500/82,,,,
GE,1.6 82.5,GE Energy,1.6-82.5,,,,
Gamesa,G78-2.0,Gamesa,G80/2000,closest,,,
CCWE,CCWE-3600/115.D,Missing,Missing,,,,
Goldwind,GW 100/2500,Goldwind,GW100/2500,,,,
GE,2.85-103,GE Energy,2.85-103,,,,
VENSYS,VENSYS82,Vensys,82,,,,
Gamesa,G58-850,Gamesa,G58/850,,,,
GE,1.62-82.5,GE Energy,1.62-82.5,,,,
Vestas,V82,Vestas,V82/1650,the windpower.net,V82-1.65,SAM,
GE,1.85-82.5,GE Energy,1.85-82.5,,,,
Southwest Windpower,Skystream 3.7,XZERES Wind,Skystream 3.7,,,,
SANY,SE11020,Sany,SE11520,Closest,,,
GE,1.7-103,GE Energy,1.7-103,,,,
GE,1.6-103,GE Energy,1.6-100,closests,,,
Siemens Gamesa,G132-3.465,Siemens-Gamesa,SG 3.4-132,,,,
GE,2.82-127,GE Energy,Missing,,,,
GE,2.4-107,GE Energy,Missing,,,,
Acciona,AW125/3000,Acciona,Missing,,,,
Acciona,AW100/3000,Acciona,Missing,,,,
GE,2.0-116,GE Energy,Missing,,,,
SANY,SE9320III-3,Sany,SE9320III-S3,the windpower.net,SE9320,SAM,
Siemens Gamesa,SWT-7.0-154,Siemens-Gamesa,Missing,,,,
Leitwind,LTW77 1.500,Leitwind,LTW77 1500,,,,
CPC,FD77-1500-IIIA,Missing,Missing,There are close matches from diff manufacturers,,,
GE,2.3-107,GE Energy,Missing,,,,
GE,3.6 SL,GE Energy,3.6sl,,,,
Goldwind,GW 109/2500,Goldwind,GW109/2500,,,,
GE,2.5-120,GE Energy,2.5-120,,,,
Siemens Gamesa,SG 4.5-145,Siemens-Gamesa,SG 4.5-145,,,,
Siemens Gamesa,SG 2.6-114,Siemens-Gamesa,Missing,,,,
Vestas,V116-2.1,Vestas,Missing,,,,
GE,2.72-116,GE Energy,Missing,,,,
Acciona,AW125/3150,Acciona,Missing,,,,
VESTAS,V100-2.0,Vestas,V100/2000,thewindpower.net,,V100-2.0,SAM
Renewtech,WT100,Missing,Missing,,,,
Goldwind,GW 121/2500,Goldwind,GW121/2500,,,,
Gamesa,G132-5.0,Gamesa,G132/5000,,,,
GE,2.75-103,GE Energy,2.75-103,,,,
Northern Power,NPS 100C-24,Northern Power Systems,NPS 100C-24,,,,
VENSYS,VENSYS120,Vensys,120,,,,
GE,3.8-137,GE Energy,Missing,,,,
Acciona,AW132/3000,Acciona,Missing,,,,
Siemens Gamesa,SG 2.7-129,Siemens-Gamesa,Missing,,,,
GE,2.75-120,GE Energy,2.75-120,,,,
Fuhrlander,FL 250,Fuhrländer ,Missing,,,,
GE,2.52-116,GE Energy,Missing,,,,
Goldwind,GW155/4200,Goldwind,Missing,,,,
GE,2.7-116,GE Energy,Missing,,,,
Siemens Gamesa,SWT-2.415-108,Siemens-Gamesa,Missing,,,,
Siemens Gamesa,SG 5.0-145,Siemens-Gamesa,Missing,,,,
GE,2.5-103,GE Energy,2.5-103,,,,
Vestas,V162-5.6,Vestas,V162/5.6MW,,,,
GE,3.4-140,GE Energy,3.4-137,closests,,,
GE,3.2-103,GE Energy,3.2-130,closests,,,
Vestas,V150-6.0,Vestas,Missing,,,,
GE,5.5-158,GE Energy,Missing,,,,
